baker,full_name,series,episode,technical,result,baker_age,baker_occupation,hometown,signature_bake,show_stopper
Ruby,Ruby Tandoh,4,9,4,IN,20,History of Art and Philosophy Student,"Southend, Essex","Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake"
Beca,Beca Lyne-Pirkis,4,9,3,OUT,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,Banoffee Opera Cake
Kimberley,Kimberley Wilson,4,9,1,STAR BAKER,30,Psychologist,London,Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken,Passion Fruit and Lime Opera Cake
Ali,Ali Imdad,4,9,NA,NA,25,Charity worker,"Saltley, Birmingham",NA,NA
Christine,Christine Wallace,4,9,NA,NA,66,Director of an engraving company,"Didcot, Oxfordshire",NA,NA
Deborah,Deborah Manger,4,9,NA,NA,51,Dentist,Peterborough,NA,NA
Glenn,Glenn Cosby,4,9,NA,NA,37,English Teacher,"Teignmouth, Devon",NA,NA
Howard,Howard Middleton,4,9,NA,NA,51,Council Worker,Sheffield,NA,NA
Lucy,Lucy Bellamy,4,9,NA,NA,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA
Mark,Mark Onley,4,9,NA,NA,37,Carpenter and Kitchen Fitter,Milton Keynes,NA,NA
Robert,Robert Smart,4,9,NA,NA,54,Space Satellite Designer,"Melbourn, Cambridgeshire",NA,NA
Toby,Toby Waterworth,4,9,NA,NA,30,Web Programmer,"Reading, Berkshire",NA,NA
Kimberley,Kimberley Wilson,4,10,1,Runner-up,30,Psychologist,London,Chicken and Pig Pie,Languages of Love Wedding Cake
Ruby,Ruby Tandoh,4,10,2,Runner-up,20,History of Art and Philosophy Student,"Southend, Essex",Picnic Basket Pie,"Raspberry, Lemon and Passion Fruit Wedding Cake"
Frances,Frances Quinn,4,10,3,WINNER,31,Children's Clothes Designer,"Market Harborough, Leicestershire",Rainbow Picnic Pie,Midsummer Night's Dream Wedding Cake
Ali,Ali Imdad,4,10,NA,NA,25,Charity worker,"Saltley, Birmingham",NA,NA
Beca,Beca Lyne-Pirkis,4,10,NA,NA,31,Military Wives' Choir Singer,"Aldershot, Hampshire",NA,NA
Christine,Christine Wallace,4,10,NA,NA,66,Director of an engraving company,"Didcot, Oxfordshire",NA,NA
Deborah,Deborah Manger,4,10,NA,NA,51,Dentist,Peterborough,NA,NA
Glenn,Glenn Cosby,4,10,NA,NA,37,English Teacher,"Teignmouth, Devon",NA,NA
Howard,Howard Middleton,4,10,NA,NA,51,Council Worker,Sheffield,NA,NA
Lucy,Lucy Bellamy,4,10,NA,NA,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA
Mark,Mark Onley,4,10,NA,NA,37,Carpenter and Kitchen Fitter,Milton Keynes,NA,NA
Robert,Robert Smart,4,10,NA,NA,54,Space Satellite Designer,"Melbourn, Cambridgeshire",NA,NA
Toby,Toby Waterworth,4,10,NA,NA,30,Web Programmer,"Reading, Berkshire",NA,NA
Chetna,Chetna Makan,5,1,3,IN,35,Fashion Designer,"Broadstairs, Kent","Cardamom, Pistachio and Coffee Swiss Roll",Tiered Victoria Sponges with Lemon Curd and Raspberry Cream
Diana,Diana Beard,5,1,5,IN,69,Women's Institute (WI) Judge,"Alkington, Shropshire",Mum's Sunday Tea Lemon Curd Swiss Roll,Chocolate Ganache Surprises
Enwezor,Enwezor Nzegwu,5,1,9,IN,39,Business Consultant,"Portsmouth, Hampshire",Raspberry and Lemon Swiss Roll,Coffee and Walnut Battenberg Squares
Iain,Iain Watters,5,1,4,IN,31,Construction Engineer,London/Belfast,Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream,"Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon"
Jordan,Jordan Cox,5,1,12,IN,32,IT Manager,"Sneinton, Nottingham",Kawaii Frasier Swiss Roll,Lemon Drizzle Cakes with Blueberry and Lemon Curd
Kate,Kate Henry,5,1,6,IN,41,Furniture Restorer,"Brighton, East Sussex",Red Velvet and White Chocolate Swiss Roll,Mini Tiered Victoria Sponges
Luis,Luis Troyano,5,1,7,IN,42,Graphic Designer,"Poynton, Cheshire",Spanish Swiss Roll,Raspberry and Lemon Genoise Slices with Lemon Drizzles
Martha,Martha Collison,5,1,2,IN,17,Student,"Ascot, Berkshire",Tiramisu Swiss Roll,Mini Lemon and Thyme Drizzle Cakes
Norman,Norman Calder,5,1,11,IN,66,Retired Naval Officer,"Portknockie, Moray",Black Forest Swiss Roll,Almond and Raspberry Mini Cakes
Richard,Richard Burr,5,1,10,IN,38,Builder,"Mill Hill, London",Pistachio and Strawberry Swiss Roll,Miniature Coffee & Walnut Cakes
Claire,Claire Goodwin,5,1,8,OUT,31,Speech Therapist,"Ashton upon Mersey, Trafford",Chocolatey Orangey Swirly Roll,Mini Chocolate and Cherry Cakes
Nancy,Nancy Birtwhistle,5,1,1,STAR BAKER,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Coffee and Hazelnut Swiss Roll,Jaffa Orange Cakes
Chetna,Chetna Makan,5,2,8,IN,35,Fashion Designer,"Broadstairs, Kent",Fenugreek and Carom Crackers,Day On The Beach
Diana,Diana Beard,5,2,7,IN,69,Women's Institute (WI) Judge,"Alkington, Shropshire",Parmesan Triangles,"Express, First Class"
Iain,Iain Watters,5,2,11,IN,31,Construction Engineer,London/Belfast,Za'atar and Fig Biscuits,Wild West Scene
Jordan,Jordan Cox,5,2,6,IN,32,IT Manager,"Sneinton, Nottingham","Sourdough, Parmesan and Chilli Biscuits",Monster Attack
Kate,Kate Henry,5,2,4,IN,41,Furniture Restorer,"Brighton, East Sussex",Parmesan and Apple Biscuits,Tea Time
Luis,Luis Troyano,5,2,3,IN,42,Graphic Designer,"Poynton, Cheshire",Black Olive and Rosemary Biscuits with Caramelised Onion Glaze,George Versus The Dragon
Martha,Martha Collison,5,2,5,IN,17,Student,"Ascot, Berkshire",Caramelised Onion and Goat's Cheese Sandwich Biscuits,Ski Village Scene
Nancy,Nancy Birtwhistle,5,2,2,IN,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Fennel and Rye Thins,Hansel and Gretel Scene
Norman,Norman Calder,5,2,10,IN,66,Retired Naval Officer,"Portknockie, Moray",Farthing Biscuits,Zulu Boats at Dawn
Enwezor,Enwezor Nzegwu,5,2,9,OUT,39,Business Consultant,"Portsmouth, Hampshire",Pumpkin and Sunflower Savoury Biscuits,Space Adventure Moon Scene
Richard,Richard Burr,5,2,1,STAR BAKER,38,Builder,"Mill Hill, London",Rosemary Seeded Crackers,Pirates!
Claire,Claire Goodwin,5,2,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA,NA
Chetna,Chetna Makan,5,3,8,IN,35,Fashion Designer,"Broadstairs, Kent",Onion and Pine Nut Rolls,Rolled and Filled Twin Loaf
Diana,Diana Beard,5,3,7,IN,69,Women's Institute (WI) Judge,"Alkington, Shropshire",Rustic Picnic Rolls,Sharing Savoury Pinwheel
Iain,Iain Watters,5,3,9,IN,31,Construction Engineer,London/Belfast,Cranberry and Walnut Rye Bread Rolls,Moroccan Plaited with a Bessara Dip
Kate,Kate Henry,5,3,1,IN,41,Furniture Restorer,"Brighton, East Sussex",Orange and Cardamom Rye Bread Knots,"Prosciutto, Olive and Coriander Bread"
Martha,Martha Collison,5,3,3,IN,17,Student,"Ascot, Berkshire",Date and Walnut Rye Rolls,Stuffed Sunflower Loaf
Nancy,Nancy Birtwhistle,5,3,5,IN,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Cider and Walnut Crusty Rolls,'Full English' Stromboli
Norman,Norman Calder,5,3,4,IN,66,Retired Naval Officer,"Portknockie, Moray",Rye Bread Rolls,Chicken and Roasted Vegetable Picnic Loaf
Richard,Richard Burr,5,3,6,IN,38,Builder,"Mill Hill, London",Rye and Cranberry Rolls,Pesto Pinwheel
Jordan,Jordan Cox,5,3,10,OUT,32,IT Manager,"Sneinton, Nottingham",Rye and Spelt Bread Rolls,Strawberry Raspberry Cheesecake Brioche
Luis,Luis Troyano,5,3,2,STAR BAKER,42,Graphic Designer,"Poynton, Cheshire",Opposites Attract Rolls,Roscón de Reyes
Claire,Claire Goodwin,5,3,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA,NA
Enwezor,Enwezor Nzegwu,5,3,NA,NA,39,Business Consultant,"Portsmouth, Hampshire",NA,NA
Chetna,Chetna Makan,5,4,3,IN,35,Fashion Designer,"Broadstairs, Kent","Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska"
Diana,Diana Beard,5,4,9,IN,69,Women's Institute (WI) Judge,"Alkington, Shropshire",Orange and Lemon Curd Pots,Raspberry Ripple Alaska Swan
Kate,Kate Henry,5,4,7,IN,41,Furniture Restorer,"Brighton, East Sussex",Chocolate and Salted Caramel Molten Puddings,"Pistachio, Raspberry and Chocolate Baked Alaska"
Luis,Luis Troyano,5,4,2,IN,42,Graphic Designer,"Poynton, Cheshire",Pears in Puddings,Bakewell Alaska
Martha,Martha Collison,5,4,1,IN,17,Student,"Ascot, Berkshire",Peanut Butter Chocolate Fondants,Key Lime Baked Alaska
Nancy,Nancy Birtwhistle,5,4,4,IN,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Pistachio Puddings with Chocolate Sauce,Summer Pudding Alaska
Norman,Norman Calder,5,4,8,IN,66,Retired Naval Officer,"Portknockie, Moray",Mini Sticky Toffee Puddings,Baked Alaska with Strawberry Surprise
Iain,Iain Watters,5,4,6,OUT,31,Construction Engineer,London/Belfast,"Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)"
Richard,Richard Burr,5,4,5,STAR BAKER,38,Builder,"Mill Hill, London",Black Forest Chocolate Fondants,Tiramisu Baked Alaska
Claire,Claire Goodwin,5,4,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA,NA
Enwezor,Enwezor Nzegwu,5,4,NA,NA,39,Business Consultant,"Portsmouth, Hampshire",NA,NA
Jordan,Jordan Cox,5,4,NA,NA,32,IT Manager,"Sneinton, Nottingham",NA,NA
Chetna,Chetna Makan,5,5,2,IN,35,Fashion Designer,"Broadstairs, Kent",Rice Custard Tart with Mangoes and Raspberries,Fusion Tiered Pies
Luis,Luis Troyano,5,5,6,IN,42,Graphic Designer,"Poynton, Cheshire",Tropical Manchester Tart,Four Fruity Seasons Tower
Martha,Martha Collison,5,5,1,IN,17,Student,"Ascot, Berkshire","Pistachio, Apricot and Honey Custard Tart",Three Little Pigs Pie
Nancy,Nancy Birtwhistle,5,5,4,IN,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Chocolate Crusted Passion Fruit Tart,Trio of Apple Pies
Richard,Richard Burr,5,5,7,IN,38,Builder,"Mill Hill, London",Fig and Orange Tart,Three Course Autumn Pie Feast
Norman,Norman Calder,5,5,5,OUT,66,Retired Naval Officer,"Portknockie, Moray",Tarte au Citron,Pieful Tower
Kate,Kate Henry,5,5,3,STAR BAKER,41,Furniture Restorer,"Brighton, East Sussex",Rhubarb and Custard Tart,"Rhubarb, Prune and Apple Pies"
Diana,Diana Beard,5,5,NA,WD,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA,NA
Claire,Claire Goodwin,5,5,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA,NA
Enwezor,Enwezor Nzegwu,5,5,NA,NA,39,Business Consultant,"Portsmouth, Hampshire",NA,NA
Iain,Iain Watters,5,5,NA,NA,31,Construction Engineer,London/Belfast,NA,NA
Jordan,Jordan Cox,5,5,NA,NA,32,IT Manager,"Sneinton, Nottingham",NA,NA
Diana,Diana Beard,5,6,NA,IN,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA,NA
Kate,Kate Henry,5,6,6,IN,41,Furniture Restorer,"Brighton, East Sussex","Pecan, Chocolate and Sour Cherry Yeast Cake",Trio of Dobos Tortes
Luis,Luis Troyano,5,6,3,IN,42,Graphic Designer,"Poynton, Cheshire",Apple and Cinnamon Kugelhopf with Honeyed Apples,The Cage on the Rocky Hill
Martha,Martha Collison,5,6,4,IN,17,Student,"Ascot, Berkshire",Dark Chocolate and Almond Liqueur Savarin,Chess-Themed Chocolate and Salted Caramel Dobos Torte
Nancy,Nancy Birtwhistle,5,6,1,IN,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Rum Punch Savarin with Coconut Cream and Tropical Fruits,Chocolate and Caramel Dobos Torte
Richard,Richard Burr,5,6,5,IN,38,Builder,"Mill Hill, London",Fruity Guglhupf with an Orange Glaze,Sugar Forest Dobos Torte
Chetna,Chetna Makan,5,6,2,STAR BAKER,35,Fashion Designer,"Broadstairs, Kent",Orange Savarin with Cinnamon Cream,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream
Claire,Claire Goodwin,5,6,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA,NA
Enwezor,Enwezor Nzegwu,5,6,NA,NA,39,Business Consultant,"Portsmouth, Hampshire",NA,NA
Iain,Iain Watters,5,6,NA,NA,31,Construction Engineer,London/Belfast,NA,NA
Jordan,Jordan Cox,5,6,NA,NA,32,IT Manager,"Sneinton, Nottingham",NA,NA
Norman,Norman Calder,5,6,NA,NA,66,Retired Naval Officer,"Portknockie, Moray",NA,NA
Chetna,Chetna Makan,5,7,6,IN,35,Fashion Designer,"Broadstairs, Kent",Crispy Lentil Kachori,Chocolate and Mango & Lemon Meringue Éclairs
Diana,Diana Beard,5,7,NA,IN,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA,NA
Luis,Luis Troyano,5,7,5,IN,42,Graphic Designer,"Poynton, Cheshire",Childhood Empanadas,"Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)"
Martha,Martha Collison,5,7,3,IN,17,Student,"Ascot, Berkshire",Mini Beef Wellingtons,Rhubarb and Custard & Maple Syrup and Bacon Éclairs
Nancy,Nancy Birtwhistle,5,7,2,IN,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Spicy Duck Pasties,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs
Kate,Kate Henry,5,7,4,OUT,41,Furniture Restorer,"Brighton, East Sussex",Spinach and Paneer Spicy Samosa,Neapolitan & Lemon Meringue Éclairs
Richard,Richard Burr,5,7,1,STAR BAKER,38,Builder,"Mill Hill, London",Minted Lamb Pasties,"Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)"
Claire,Claire Goodwin,5,7,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA,NA
Enwezor,Enwezor Nzegwu,5,7,NA,NA,39,Business Consultant,"Portsmouth, Hampshire",NA,NA
Iain,Iain Watters,5,7,NA,NA,31,Construction Engineer,London/Belfast,NA,NA
Jordan,Jordan Cox,5,7,NA,NA,32,IT Manager,"Sneinton, Nottingham",NA,NA
Norman,Norman Calder,5,7,NA,NA,66,Retired Naval Officer,"Portknockie, Moray",NA,NA
Chetna,Chetna Makan,5,8,1,IN,35,Fashion Designer,"Broadstairs, Kent",Date and Walnut Swirl Bread,Chocolate Mousse Filled DoughnutsBraided Doughnuts
Diana,Diana Beard,5,8,NA,IN,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA,NA
Luis,Luis Troyano,5,8,2,IN,42,Graphic Designer,"Poynton, Cheshire",Black Forest Cherry Tree,"Cocktail Doughnuts
(Mudslide & Raspberry Mojito)"
Nancy,Nancy Birtwhistle,5,8,3,IN,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Lincolnshire Plum Braid,"Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)"
Martha,Martha Collison,5,8,5,OUT,17,Student,"Ascot, Berkshire",Spiced Plum Iced Bread Swirl,Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts
Richard,Richard Burr,5,8,4,STAR BAKER,38,Builder,"Mill Hill, London",Fruit Swedish Tea Ring,Rhubarb and Custard and Toffee Apple Doughnuts
Claire,Claire Goodwin,5,8,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA,NA
Enwezor,Enwezor Nzegwu,5,8,NA,NA,39,Business Consultant,"Portsmouth, Hampshire",NA,NA
Iain,Iain Watters,5,8,NA,NA,31,Construction Engineer,London/Belfast,NA,NA
Jordan,Jordan Cox,5,8,NA,NA,32,IT Manager,"Sneinton, Nottingham",NA,NA
Kate,Kate Henry,5,8,NA,NA,41,Furniture Restorer,"Brighton, East Sussex",NA,NA
Norman,Norman Calder,5,8,NA,NA,66,Retired Naval Officer,"Portknockie, Moray",NA,NA
Diana,Diana Beard,5,9,NA,IN,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA,NA
Luis,Luis Troyano,5,9,1,IN,42,Graphic Designer,"Poynton, Cheshire",Indian Rose BaklavaHalwa Baklava Rolls,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges"
Nancy,Nancy Birtwhistle,5,9,3,IN,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Coffee and Chocolate BaklavaBreakfast Baklava,Raspberry NonnettesLime and Passion Fruit Entremets
Chetna,Chetna Makan,5,9,4,OUT,35,Fashion Designer,"Broadstairs, Kent",Chocolate Orange Baklava Masala Chai Baklava,"Chocolate, Orange & Nut EntremetsCappuccino Entremets"
Richard,Richard Burr,5,9,2,STAR BAKER,38,Builder,"Mill Hill, London",Rose and Pistachio BaklavaWalnut and Almond Baklava,Hazelnut Mocha EntremetsPink Grapefruit Entremets
Claire,Claire Goodwin,5,9,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA,NA
Enwezor,Enwezor Nzegwu,5,9,NA,NA,39,Business Consultant,"Portsmouth, Hampshire",NA,NA
Iain,Iain Watters,5,9,NA,NA,31,Construction Engineer,London/Belfast,NA,NA
Jordan,Jordan Cox,5,9,NA,NA,32,IT Manager,"Sneinton, Nottingham",NA,NA
Kate,Kate Henry,5,9,NA,NA,41,Furniture Restorer,"Brighton, East Sussex",NA,NA
Martha,Martha Collison,5,9,NA,NA,17,Student,"Ascot, Berkshire",NA,NA
Norman,Norman Calder,5,9,NA,NA,66,Retired Naval Officer,"Portknockie, Moray",NA,NA
Diana,Diana Beard,5,10,NA,IN,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA,NA
Luis,Luis Troyano,5,10,2,Runner-up,42,Graphic Designer,"Poynton, Cheshire","Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",Village in Chocolate
Richard,Richard Burr,5,10,3,Runner-up,38,Builder,"Mill Hill, London",Pear Pain au ChocolatPain Au Lait,Mill on the Hill
Nancy,Nancy Birtwhistle,5,10,1,WINNER,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Apple and Lemon KitesRaspberry and Almond Croissants,Red Windmill
Chetna,Chetna Makan,5,10,NA,NA,35,Fashion Designer,"Broadstairs, Kent",NA,NA
Claire,Claire Goodwin,5,10,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford",NA,NA
Enwezor,Enwezor Nzegwu,5,10,NA,NA,39,Business Consultant,"Portsmouth, Hampshire",NA,NA
Iain,Iain Watters,5,10,NA,NA,31,Construction Engineer,London/Belfast,NA,NA
Jordan,Jordan Cox,5,10,NA,NA,32,IT Manager,"Sneinton, Nottingham",NA,NA
Kate,Kate Henry,5,10,NA,NA,41,Furniture Restorer,"Brighton, East Sussex",NA,NA
Martha,Martha Collison,5,10,NA,NA,17,Student,"Ascot, Berkshire",NA,NA
Norman,Norman Calder,5,10,NA,NA,66,Retired Naval Officer,"Portknockie, Moray",NA,NA
Alvin,Alvin Magallanes,6,1,2,IN,37,Nurse,"Bracknell, Berkshire",Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau
Dorret,Dorret Conway,6,1,5,IN,53,Accountant,"Penwortham, Lancashire",Madeira Cake with Candied Lemons,Enchanted Forest Gâteau
Flora,Flora Shedden,6,1,6,IN,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Blood Orange Madeira Cake,Black Forest Gâteau
Ian,Ian Cumming,6,1,8,IN,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Somewhere West of Madeira Cake,Black Forest Cherry Tree
Mat,Mat Riley,6,1,7,IN,37,Fire fighter,London,Gin and Tonic Madeira Cake,Black Forest Gateau
Nadiya,Nadiya Hussain,6,1,12,IN,30,Full-time mother,Leeds / Luton,Orange and Green Cardamom Madeira Cake,Quadruple Chocolate Black Forest Gâteau
Paul,Paul Jagger,6,1,10,IN,49,Prison governor,"Swansea, Wales","Lemon, Ginger and Caraway Seed Madeira Cake",Black Forest Chocolate Creation
Sandy,Sandy Docherty,6,1,9,IN,49,Child welfare officer,"Yeadon, West Yorkshire",Madeira Cake with Almond Liqueur and Chopped Apricots,Black Forest Gâteau
Tamal,Tamal Ray,6,1,4,IN,29,Trainee anaesthetist,Manchester,Pistachio and Rose Madeira Cake,Black Forest Gâteau in a Chocolate Shell
Ugnė,Ugnė Bubnaityte,6,1,1,IN,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Lemon and Thyme Madeira Cake,Falling Cup Gâteau
Stu,Stu Henshall,6,1,11,OUT,35,Professional musician,"Guildford, Surrey",Marley Madeira Cake,Purple Forest Gâteau
Marie,Marie Campbell,6,1,3,STAR BAKER,66,Retired,"Auchterarder, Perthshire",Zingy Citrus Madeira Cake,A Walk in the Black Forest
Alvin,Alvin Magallanes,6,2,6,IN,37,Nurse,"Bracknell, Berkshire","Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps
Dorret,Dorret Conway,6,2,1,IN,53,Accountant,"Penwortham, Lancashire",Almond and Apricot Biscotti with Amber Sugar Crystals,Box of Frogs
Flora,Flora Shedden,6,2,2,IN,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Wedding Biscotti,Honey and Earl Grey Tea Box
Mat,Mat Riley,6,2,5,IN,37,Fire fighter,London,"Pistachio, Cranberry and White Chocolate Biscotti",Gingerbread Fire Engine
Nadiya,Nadiya Hussain,6,2,9,IN,30,Full-time mother,Leeds / Luton,"Coconut, Fennel and Pistachio Biscotti",Box of Fortunes
Paul,Paul Jagger,6,2,10,IN,49,Prison governor,"Swansea, Wales","Chocolate, Hazelnut and Fig Biscotti",Memory Box
Sandy,Sandy Docherty,6,2,4,IN,49,Child welfare officer,"Yeadon, West Yorkshire",Chocolate Chunk and Hazelnut Biscotti,Sundried Tomato Cheese Biscuit Box
Tamal,Tamal Ray,6,2,8,IN,29,Trainee anaesthetist,Manchester,"Cinnamon, Maple and Cranberry Biscotti",Chessboard Box
Ugnė,Ugnė Bubnaityte,6,2,7,IN,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",White Wine Biscotti,Baby Climbing into the Cookie Box
Marie,Marie Campbell,6,2,11,OUT,66,Retired,"Auchterarder, Perthshire",Biscotti Italiano,Russian Box
Ian,Ian Cumming,6,2,3,STAR BAKER,41,Travel photographer,"Great Wilbraham, Cambridgeshire","Orange, Rosemary and Almond Biscotti",Sandwich de la Confiture
Stu,Stu Henshall,6,2,NA,NA,35,Professional musician,"Guildford, Surrey",NA,NA
Alvin,Alvin Magallanes,6,3,4,IN,37,Nurse,"Bracknell, Berkshire","Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia
Flora,Flora Shedden,6,3,2,IN,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Fig and Hazelnut Rye Breads,Herb Couture
Mat,Mat Riley,6,3,8,IN,37,Fire fighter,London,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",Curry Inspired Brighton Pavilion
Nadiya,Nadiya Hussain,6,3,9,IN,30,Full-time mother,Leeds / Luton,Mexican Bread with Warm Tomato Salsa,Snake Charmer's Basket
Paul,Paul Jagger,6,3,10,IN,49,Prison governor,"Swansea, Wales",Cranberry and Orange Sweet Soda Breads,King of the Jungle
Sandy,Sandy Docherty,6,3,7,IN,49,Child welfare officer,"Yeadon, West Yorkshire",Soda Breads with Smoked Bacon and Onion,Basket of Bread Flowers with a Walnut and Blue Cheese Centre
Tamal,Tamal Ray,6,3,3,IN,29,Trainee anaesthetist,Manchester,"Fig, Cheese and Walnut Breads",Breadcycle
Ugnė,Ugnė Bubnaityte,6,3,5,IN,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Chocolate Quick Breads with Salted Caramel Sauce,Easter Basket
Dorret,Dorret Conway,6,3,6,OUT,53,Accountant,"Penwortham, Lancashire",Walnut and Stilton Soda Breads,Unmade Bread
Ian,Ian Cumming,6,3,1,STAR BAKER,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Wild Garlic Pesto Soda Breads,Flour Power
Marie,Marie Campbell,6,3,NA,NA,66,Retired,"Auchterarder, Perthshire",NA,NA
Stu,Stu Henshall,6,3,NA,NA,35,Professional musician,"Guildford, Surrey",NA,NA
Alvin,Alvin Magallanes,6,4,9,IN,37,Nurse,"Bracknell, Berkshire",Blackberry Crème Brûlées,Tower of Fruits Cheesecakes
Flora,Flora Shedden,6,4,3,IN,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Rhubarb and Ginger Crème Brûlées,Elderflower and Granola Cheesecakes
Mat,Mat Riley,6,4,7,IN,37,Fire fighter,London,Coconut Crème Brûlées,Chocolate Bar Cheesecakes
Nadiya,Nadiya Hussain,6,4,8,IN,30,Full-time mother,Leeds / Luton,Cinnamon Tea Crème Brûlées,Fizzy Pop Cheesecakes
Paul,Paul Jagger,6,4,1,IN,49,Prison governor,"Swansea, Wales",Almond Crème Brûlées,Berry Cheesecake Tower
Tamal,Tamal Ray,6,4,5,IN,29,Trainee anaesthetist,Manchester,Rhubarb and Ginger Crème Brûlées,"Mango, Hazelnut and Rosemary Cheesecake Trio"
Ugnė,Ugnė Bubnaityte,6,4,2,IN,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Marula Fruit and Coffee Liqueur Crème Brûlées,"Lime, Coconut and Hazelnut Cheesecakes"
Sandy,Sandy Docherty,6,4,6,OUT,49,Child welfare officer,"Yeadon, West Yorkshire",Pontefract Crème Brûlées,"Cassata, Whisky and Orange & Apple Pie Cheesecakes"
Ian,Ian Cumming,6,4,4,STAR BAKER,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Pomegranate Two Ways Crème Brûlées,Trio of Spicy and Herby Baked Cheesecakes
Dorret,Dorret Conway,6,4,NA,NA,53,Accountant,"Penwortham, Lancashire",NA,NA
Marie,Marie Campbell,6,4,NA,NA,66,Retired,"Auchterarder, Perthshire",NA,NA
Stu,Stu Henshall,6,4,NA,NA,35,Professional musician,"Guildford, Surrey",NA,NA
Alvin,Alvin Magallanes,6,5,8,IN,37,Nurse,"Bracknell, Berkshire",Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll"
Flora,Flora Shedden,6,5,3,IN,19,Art gallery assistant,"Dunkeld, Perth and Kinross","Pistachio, Apple and Cardamom Madeleine Cake",Chocolate and Pear Bûche
Ian,Ian Cumming,6,5,5,IN,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Honey and Flowers Cake,Dessert Island
Mat,Mat Riley,6,5,4,IN,37,Fire fighter,London,Sugar Free Carrot Cake,Raspberry and Coconut Ice Cream Roll
Paul,Paul Jagger,6,5,2,IN,49,Prison governor,"Swansea, Wales",Carrot & Pecan Cake,Dessert Island Getaway
